日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2016-12-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4934243,0.51%,新进,--,900911
2016-12-31,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED ,证券公司,B股,4892725,0.50%,-1051488,-17.69%,900911
2016-09-30,Golden China Master Fund,其它,B股,12304248,1.26%,不变,--,900911
2016-09-30,NORGES BANK,QFII,B股,7660880,0.79%,不变,--,900911
2016-09-30,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,5944213,0.61%,-389917,-6.16%,900911
2016-09-30,GREENWOODS CHINA ALPHA MASTER FUND,其它,B股,4999931,0.51%,不变,--,900911
2017-09-30,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,14961109,1.48%,-822760,-5.21%,900913
2017-06-30,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,15783869,1.57%,7228,0.05%,900913
2017-03-31,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,15776641,1.56%,15660,0.10%,900913
2016-12-31,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,15760981,1.56%,668988,4.43%,900913
2016-09-30,GUOTAI JUNANSECURITIES(HONGKONG) LIMITED,证券公司,B股,15091993,4.50%,-1015340,-6.30%,900913
2017-09-30,NORGES BANK,QFII,B股,2232186,0.40%,不变,--,900914
2017-09-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,1787832,0.32%,不变,--,900914
2017-09-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,1711010,0.31%,不变,--,900914
2017-09-30,ISHARES CORE MSCI EMERGING MARKETS ETF,其它,B股,1570400,0.28%,101400,6.90%,900914
2017-06-30,NORGES BANK,QFII,B股,2232186,0.40%,不变,--,900914
2017-06-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,1787832,0.32%,不变,--,900914
2017-06-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,1711010,0.31%,不变,--,900914
2017-06-30,ISHARES CORE MSCI EMERGING MARKETS ETF,其它,B股,1469000,0.27%,新进,--,900914
2017-03-31,NORGES BANK,QFII,B股,2232186,0.40%,不变,--,900914
2017-03-31,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,1787832,0.32%,不变,--,900914
2017-03-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,1711010,0.31%,不变,--,900914
2016-12-31,NORGES BANK,QFII,B股,2232186,0.40%,不变,--,900914
2016-12-31,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,1787832,0.32%,93430,5.51%,900914
2016-12-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,1711010,0.31%,不变,--,900914
2016-09-30,NORGES BANK,QFII,B股,2232186,0.40%,-571102,-20.37%,900914
2016-09-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,1711010,0.31%,166400,10.77%,900914
2016-09-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,1694402,0.31%,1454,0.09%,900914
2016-09-30,GUOTAIJUNAN SECURITIES (HONGKONG) LIMITED,证券公司,B股,1366500,0.25%,新进,--,900914
2017-09-30,GUOTAI JUNAN SECURITIES(HONGKONG)LIMITED,证券公司,B股,2931483,0.91%,-29099,-0.98%,900915
2017-09-30,BANK OF TAIWAN AS CUSTODIAN OF FRANKLIN TEMPLETON SINOAM CHINA CONSUMPTION FUND,其它,B股,1574279,0.49%,不变,--,900915
2017-06-30,GUOTAI JUNANSECURITIES(HONGKONG) LIMITED,证券公司,B股,2960582,0.92%,-89541,-2.94%,900915
2017-06-30,BANK OF TAIWAN AS CUSTODIAN OFFRANKLIN TEMPLETON SINOAM CHINA CONSUMPTION FUND,其它,B股,1574279,0.49%,不变,--,900915
2017-03-31,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,3050123,0.95%,-227679,-6.95%,900915
2017-03-31,FRANKLIN TEMPLETON SINOAMCHINA A SHARES EQUITY FUND ,其它,B股,2627277,0.82%,不变,--,900915
2017-03-31,BANK OF TAIWANAS CUSTODIANOFFRANKLINTEMPLETONSINOAM CHINA CONSUMPTION FUND,其它,B股,1574279,0.49%,不变,--,900915
2017-03-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,1084642,0.34%,不变,--,900915
2016-12-31,GUOTAI JUNANSECURITIES(HONGKONG) LIMITED ,证券公司,B股,3277802,1.02%,164087,5.27%,900915
2016-12-31,FRANKLIN TEMPLETON SINOAMCHINA A SHARES EQUITY FUND ,其它,B股,2627277,0.82%,不变,--,900915
2016-12-31,BANK OF TAIWAN AS CUSTODIAN OFFRANKLIN TEMPLETON SINOAM CHINA CONSUMPTION FUND,其它,B股,1574279,0.49%,不变,--,900915
2016-12-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,1084642,0.34%,新进,--,900915
2016-09-30,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,3113715,0.97%,-19600,-0.63%,900915
2016-09-30,FRANKLIN TEMPLETON SINOAM CHINA A SHARES EQUITY FUND,其它,B股,2627277,0.82%,不变,--,900915
2016-09-30,BANK OF TAIWAN AS CUSTODIAN OF FRANKLIN TEMPLETON SINOAM CHINA CONSUMPTION FUND,其它,B股,1574279,0.49%,不变,--,900915
2017-09-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,3009500,0.84%,不变,--,900916
2017-09-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,1958834,0.55%,不变,--,900916
2017-09-30,NORGES BANK,QFII,B股,1385039,0.39%,不变,--,900916
2017-09-30,Bank of Singapore Limited,金融,B股,1000000,0.28%,不变,--,900916
2017-06-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,3009500,0.84%,不变,--,900916
2017-06-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,1958834,0.55%,不变,--,900916
2017-06-30,NORGES BANK,QFII,B股,1385039,0.39%,不变,--,900916
2017-06-30,Bank of Singapore Limited,金融,B股,1000000,0.28%,不变,--,900916
2017-03-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,3009500,0.84%,不变,--,900916
2017-03-31,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,1958834,0.55%,117300,6.37%,900916
2017-03-31,NORGES BANK,QFII,B股,1385039,0.39%,不变,--,900916
2017-03-31,Bank of Singapore Limited,金融,B股,1000000,0.28%,不变,--,900916
2016-12-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,3009500,0.84%,不变,--,900916
2016-12-31,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,1841534,0.51%,不变,--,900916
2016-12-31,NORGES BANK,QFII,B股,1385039,0.39%,不变,--,900916
2016-12-31,Bank of Singapore Limited,金融,B股,1000000,0.28%,不变,--,900916
