shareholder,value,percent,share_type,share_code
长城国融投资管理有限公司,7000000,2.243,流通A股,000153
安信证券股份有限公司约定购回专用账户,7000000,2.243,流通A股,000153
四川化工控股(集团)有限责任公司,143500000,11.299,流通A股,000155
成都聚兴瑞隆商务服务合伙企业(有限合伙),60000000,4.724,流通A股,000155
成都百合正信信息技术合伙企业(有限合伙),60000000,4.724,流通A股,000155
成都万年长青企业管理合伙企业(有限合伙),60000000,4.724,流通A股,000155
上海鹰雳投资管理合伙企业(有限合伙),53000000,4.173,流通A股,000155
四川发展(控股)有限责任公司,52047000,4.098,流通A股,000155
深圳西证众城投资合伙企业(有限合伙),40000000,3.150,流通A股,000155
峨眉山嘉恒置业发展有限公司,40000000,3.150,流通A股,000155
上海久阳投资管理中心(有限合伙),30000000,2.362,流通A股,000155
深圳市天润泰安股权投资企业(有限合伙),30000000,2.362,流通A股,000155
华数数字电视传媒集团有限公司,446755902,31.169,流通A股,000156
湖南千禧龙投资发展有限公司,98000047,6.837,流通A股,000156
东方星空创业投资有限公司,46134669,3.219,流通A股,000156
浙江省发展资产经营有限公司,36317110,2.534,流通A股,000156
中国证券金融股份有限公司,30411165,2.122,流通A股,000156
浙江省二轻集团公司,26871337,1.875,流通A股,000156
中央汇金资产管理有限责任公司,7301000,0.509,流通A股,000156
香港中央结算(代理人)有限公司(HKSCCNOMINEESLIMITED),1385744523,18.173,境外可流通股,000157
湖南省人民政府国有资产监督管理委员会,1253314876,16.436,流通A股,000157
长沙合盛科技投资有限公司,386517443,5.069,流通A股,000157
中国证券金融股份有限公司,230408951,3.022,流通A股,000157
佳卓集团有限公司(GOODEXCELGROUPLIMITED),168635680,2.212,流通A股,000157
智真国际有限公司,168635602,2.212,流通A股,000157
长沙一方科技投资有限公司,156864942,2.057,流通A股,000157
中央汇金资产管理有限责任公司,115849400,1.519,流通A股,000157
广东恒健投资控股有限公司,24000000,0.315,流通A股,000157
石家庄常山纺织集团有限责任公司,451567884,27.320,流通A股,000158
广发信德投资管理有限公司,19958272,1.207,流通A股,000158
乾泰中晟股权投资有限公司,142605016,29.639,流通A股,000159
中央汇金资产管理有限责任公司,1254400,0.261,流通A股,000159
上海久事(集团)有限公司,1212810389,6.047,流通A股,000166
中国证券金融股份有限公司,546174346,2.723,流通A股,000166
中央汇金资产管理有限责任公司,197390385,0.984,流通A股,000166
赣州壹申投资合伙企业(有限合伙),131810000,0.657,流通A股,000166
浙江中国小商品城集团股份有限公司,125427338,0.625,流通A股,000166
新疆凯迪投资有限责任公司,96154909,0.479,流通A股,000166
上海陆家嘴金融贸易区开发股份有限公司,82032106,0.409,流通A股,000166
上海石化城市建设综合开发公司,79372263,0.396,流通A股,000166
上海汽车资产经营有限公司,75210695,0.375,流通A股,000166
江苏吴江丝绸集团有限公司,322972453,26.511,流通A股,000301
苏州市吴江东方国有资本投资经营有限公司,134104200,11.008,流通A股,000301
