1996-12-28,1994-01-06,--,1993-11-17,其他发行方式,1.00,4600万,3.00,--,1.38亿,0,4.50,6.20,37.17%,6.25,--,--,000552
1998-03-27,1993-12-03,--,1993-10-28,其他发行方式,1.00,3000万,3.10,480万,9300万,8820万,8.80,8.35,21.60%,8.80,--,--,000553
1993-03-17,1993-12-15,--,1992-12-08,其他发行方式,1.00,5200万,5.00,--,2.60亿,2.08亿,11.60,11.00,6.38%,11.80,--,--,000554
1996-11-18,1994-04-08,--,1993-12-06,其他发行方式,1.00,2000万,3.00,--,6000万,0,6.55,6.20,51.83%,7.00,--,--,000555
1994-02-18,1994-06-17,--,1993-12-10,其他发行方式,1.00,3000万,3.98,600万,1.19亿,1.13亿,4.58,5.14,64.35%,5.20,--,--,000557
1988-03-31,1994-05-09,14.36,1993-12-11,其他发行方式,1.00,2000万,3.68,400万,7360万,6960万,5.50,5.38,20.31%,6.00,--,--,000558
1994-01-08,1994-01-10,--,1993-11-17,其他发行方式,1.00,3000万,3.80,300万,1.14亿,1.11亿,8.40,8.75,19.75%,9.35,--,--,000559
1992-11-30,1994-02-02,--,1993-12-03,其他发行方式,1.00,3000万,3.96,480万,1.19亿,1.14亿,5.30,5.75,15.43%,6.10,--,--,000560
1992-08-15,1994-05-09,--,1993-12-23,其他发行方式,1.00,5000万,4.55,--,2.28亿,2.27亿,5.19,5.05,16.63%,5.29,--,--,000561
1985-01-05,1994-01-10,--,1992-06-02,其他发行方式,1.00,5000万,2.00,--,1.00亿,0,10.80,12.10,7.28%,12.50,--,--,000563
1996-12-05,1994-01-10,--,1992-05-12,其他发行方式,100.00,4000万,2.50,--,1.00亿,0,10.00,11.00,5.07%,11.70,--,--,000564
1992-06-22,1994-04-08,17.6,1994-02-16,其他发行方式,1.00,1450万,3.70,--,5365万,5148万,7.50,7.25,38.47%,8.60,--,3.89%,000565
1992-12-30,1994-05-25,--,1994-01-10,其他发行方式,1.00,2500万,5.80,500万,1.45亿,1.40亿,8.80,7.75,28.95%,8.80,--,--,000566
1987-03-02,1994-05-25,--,1994-01-10,其他发行方式,1.00,1500万,5.95,--,8925万,0,9.00,8.16,28.36%,9.25,--,--,000567
1995-05-03,1994-05-09,--,1994-02-21,其他发行方式,1.00,2188万,5.83,306万,1.28亿,1.24亿,9.00,9.85,62.07%,9.85,--,--,000568
1994-05-05,1994-07-01,15,1994-03-15,其他发行方式,1.00,4000万,3.90,--,1.56亿,1.53亿,4.00,3.51,44.71%,4.00,--,--,000570
1992-12-30,1994-05-25,--,1994-01-10,其他发行方式,1.00,2000万,6.00,500万,1.20亿,1.15亿,9.50,9.04,38.09%,9.80,--,--,000571
1993-01-26,1994-08-08,7.59,1994-06-25,其他发行方式,1.00,2500万,6.68,700万,1.67亿,1.60亿,9.50,9.44,69.74%,10.30,--,--,000572
1992-05-08,1994-08-15,6.79,1994-07-20,网下定价发行,1.00,1800万,6.38,540万,1.15亿,1.09亿,10.00,9.70,39.32%,10.50,--,--,000573
1993-04-15,1994-09-07,10.68,1994-07-08,其他发行方式,1.00,2000万,6.30,--,1.26亿,0,17.70,16.48,33.31%,25.00,--,--,000576
1988-10-27,1998-09-24,--,1998-06-29,网上定价发行,1.00,1.20亿,4.88,--,5.86亿,5.70亿,6.99,6.54,47.66%,7.00,--,1.44%,000581
1996-08-07,1995-11-02,--,1990-01-10,其他发行方式,1.00,2000万,1.00,--,2000万,0,8.20,8.48,41.56%,9.56,--,--,000582
1991-10-10,1995-11-28,--,1986-07-01,其他发行方式,1.00,3500万,3.50,--,1.23亿,0,6.80,7.31,36.96%,7.38,--,--,000584
1998-05-13,1995-12-13,--,1995-11-29,网下定价发行,1.00,3000万,5.20,570万,1.56亿,1.50亿,6.00,5.93,62.30%,6.40,--,5.88%,000585
1994-03-04,1995-12-20,--,1988-08-01,其他发行方式,200.00,18.0万,200.00,--,3600万,0,8.00,7.55,35.83%,8.00,--,--,000586
1996-02-05,1996-04-25,--,1990-03-01,其他发行方式,1.00,1600万,1.00,--,1600万,0,12.85,12.10,60.96%,15.80,--,--,000587
1996-01-29,1996-03-08,17.4,1996-01-04,网下定价发行,1.00,4000万,4.50,730万,1.80亿,1.73亿,4.56,4.93,72.01%,4.97,--,73.15%,000589
1993-11-12,1996-01-19,18.75,1996-01-05,网下定价发行,1.00,1000万,6.00,200万,6000万,5800万,5.97,5.63,32.95%,5.97,--,39.65%,000590
1993-04-12,1996-02-08,--,1987-04-15,其他发行方式,100.00,2000万,1.00,--,2000万,0,4.50,4.02,39.82%,4.50,--,--,000591
1993-09-08,1996-03-27,13.97,1996-03-07,网下定价发行,1.00,3460万,4.33,554万,1.50亿,1.44亿,4.78,5.01,56.97%,5.25,--,54.22%,000592
